model-1601899771,1601899772.169,5,0.57,0.3736,0.5,0.2837
model-1601899771,1601899772.194,5,0.43,0.3475,0.71,0.2278
model-1601899771,1601899772.222,5,0.57,0.2175,0.71,0.1804
model-1601899771,1601899772.244,5,0.93,0.1102,0.79,0.1663
model-1601899771,1601899772.261,5,0.64,0.1778,0.71,0.1717
model-1601899771,1601899772.279,5,0.71,0.1415,0.71,0.1863
model-1601899771,1601899772.296,5,0.79,0.1557,0.79,0.1713
model-1601899771,1601899772.314,5,0.79,0.2122,0.71,0.18
model-1601899771,1601899772.331,5,0.79,0.167,0.71,0.1736
model-1601899771,1601899772.348,5,0.71,0.2512,0.79,0.1712
model-1601899771,1601899772.365,5,0.43,0.2679,0.71,0.179
model-1601899771,1601899772.386,6,0.5,0.2644,0.71,0.1866
model-1601899771,1601899772.403,6,0.64,0.2119,0.71,0.1968
model-1601899771,1601899772.423,6,0.57,0.1949,0.71,0.2113
model-1601899771,1601899772.443,6,0.79,0.1309,0.71,0.2127
model-1601899771,1601899772.459,6,0.79,0.209,0.71,0.2031
model-1601899771,1601899772.476,6,0.79,0.1981,0.71,0.1989
model-1601899771,1601899772.494,6,0.71,0.1886,0.71,0.189
model-1601899771,1601899772.511,6,0.79,0.1572,0.71,0.1902
model-1601899771,1601899772.529,6,0.79,0.1657,0.79,0.1863
model-1601899771,1601899772.545,6,0.71,0.2056,0.79,0.1757
model-1601899771,1601899772.562,6,0.43,0.2377,0.79,0.183
model-1601899771,1601899772.582,7,0.57,0.2383,0.79,0.1815
model-1601899771,1601899772.603,7,0.71,0.1836,0.79,0.1836
model-1601899771,1601899772.623,7,0.93,0.1342,0.71,0.1738
model-1601899771,1601899772.639,7,0.86,0.149,0.71,0.1844
model-1601899771,1601899772.656,7,0.71,0.1761,0.71,0.1836
model-1601899771,1601899772.672,7,0.86,0.1282,0.71,0.172
model-1601899771,1601899772.694,7,0.79,0.142,0.71,0.1772
model-1601899771,1601899772.713,7,0.86,0.1406,0.79,0.1821
model-1601899771,1601899772.73,7,0.79,0.1404,0.79,0.1774
model-1601899771,1601899772.75,7,0.64,0.2024,0.79,0.1801
model-1601899771,1601899772.767,7,0.57,0.2335,0.64,0.1887
model-1601899771,1601899772.794,8,0.5,0.3258,0.79,0.1991
model-1601899771,1601899772.817,8,0.64,0.2733,0.71,0.1974
model-1601899771,1601899772.836,8,0.64,0.1925,0.64,0.1787
model-1601899771,1601899772.853,8,0.86,0.0938,0.71,0.1735
model-1601899771,1601899772.87,8,0.79,0.1828,0.79,0.17
model-1601899771,1601899772.888,8,0.86,0.1187,0.71,0.1733
model-1601899771,1601899772.905,8,0.79,0.1309,0.71,0.1836
model-1601899771,1601899772.921,8,0.79,0.144,0.71,0.187
model-1601899771,1601899772.938,8,0.86,0.1388,0.71,0.1885
model-1601899771,1601899772.954,8,0.71,0.2485,0.71,0.1843
model-1601899771,1601899772.971,8,0.5,0.2909,0.71,0.1709
model-1601899771,1601899772.992,9,0.64,0.2019,0.71,0.1786
model-1601899771,1601899773.01,9,0.79,0.1713,0.79,0.1786
model-1601899771,1601899773.029,9,1.0,0.1095,0.79,0.169
model-1601899771,1601899773.053,9,0.93,0.1111,0.79,0.181
model-1601899771,1601899773.079,9,0.79,0.1709,0.79,0.1823
model-1601899771,1601899773.108,9,0.86,0.1315,0.79,0.1747
model-1601899771,1601899773.134,9,0.79,0.1402,0.79,0.1736
model-1601899771,1601899773.16,9,0.86,0.1291,0.79,0.1811
